City_ID,City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
62,Maryville,35.7565,-83.9705,46.08,46,0,13.8,clear sky
63,La Sarre,48.8002,-79.1996,17.6,87,100,7.87,light snow
64,Novogornyy,55.63,60.7919,-11.18,100,98,3.65,overcast clouds
65,Kloulklubed,7.0419,134.2556,82.67,77,100,13.91,overcast clouds
66,Sambava,-14.2667,50.1667,77.0,82,100,11.5,overcast clouds
67,Lerwick,60.1545,-1.1494,46.4,88,100,29.91,overcast clouds
68,Harnoli,32.2792,71.5539,76.12,31,37,4.74,scattered clouds
69,Alice Town,25.7167,-79.3,70.45,59,6,18.14,clear sky
70,Maceio,-9.6658,-35.7353,83.64,74,75,13.8,broken clouds
71,Nieves,15.3274,120.9485,74.21,90,41,2.98,scattered clouds
72,Luau,-10.7073,22.2247,62.24,97,100,3.33,overcast clouds
73,Yaan,7.3833,8.5667,92.05,30,100,3.42,overcast clouds
74,Muros,42.7762,-9.0603,46.83,92,100,11.97,light rain
75,Korla,41.7597,86.1469,54.27,31,98,5.1,overcast clouds
76,Carlagan,14.975,122.0456,77.23,88,96,4.97,overcast clouds
77,Hualmay,-11.0964,-77.6139,75.45,73,100,8.39,overcast clouds
78,Mujiayingzi,42.1167,118.7833,34.84,79,100,2.24,overcast clouds
79,Virginia Beach,36.8529,-75.978,45.01,35,0,14.97,clear sky
80,Catamarca,-28.4696,-65.7852,76.77,61,27,8.99,scattered clouds
81,Mardin,37.3131,40.7436,29.75,99,100,2.86,light snow
82,Aneho,6.2333,1.6,84.4,77,13,10.47,few clouds
83,Tuam,53.5167,-8.85,42.01,79,22,14.72,few clouds
84,Svetlogorsk,52.6333,29.7333,28.99,76,14,2.95,few clouds
85,Ketchikan,55.3422,-131.6461,39.18,93,20,6.91,few clouds
86,Bognor Regis,50.7821,-0.6798,48.22,92,100,10.71,overcast clouds
87,Munger,25.3833,86.4667,72.16,28,0,4.97,clear sky
88,Calama,-22.4667,-68.9333,72.09,33,20,23.02,few clouds
89,Kumluca,36.3703,30.2869,40.05,45,2,9.69,clear sky
90,Glendive,47.1053,-104.7125,41.49,63,100,14.97,overcast clouds
91,Hue,16.4667,107.6,71.71,94,75,1.14,broken clouds
92,Camopi,3.1655,-52.3158,80.22,93,100,3.15,overcast clouds
93,Luziania,-16.2525,-47.9503,73.09,58,47,5.93,scattered clouds
94,Cururupu,-1.8283,-44.8683,81.27,83,38,5.32,scattered clouds
95,Tselinnoye,53.0833,85.6667,12.09,87,100,11.07,overcast clouds
96,Havelock,34.8791,-76.9013,45.99,41,0,4.0,clear sky
97,Waipawa,-41.4122,175.5153,54.55,77,100,5.77,overcast clouds
98,Dingle,10.9995,122.6711,76.57,91,19,5.32,few clouds
99,Xinyang,32.1228,114.0656,64.22,87,12,5.06,few clouds
100,Cambre,43.2944,-8.3474,48.22,84,20,6.91,light rain
101,Evensk,61.95,159.2333,5.85,80,6,8.68,clear sky
102,Talaya,61.3833,152.75,-19.79,100,100,1.54,overcast clouds
103,Dodge City,37.7528,-100.0171,70.25,18,0,16.11,clear sky
104,Aksay,47.26,39.87,29.25,39,53,4.0,broken clouds
105,Bilma,18.6853,12.9164,72.41,9,0,10.22,clear sky
106,Xichang,27.8964,102.2634,56.77,42,50,2.51,scattered clouds
107,Kumluca,36.3703,30.2869,40.05,45,2,9.69,clear sky
108,Tongchuan,35.0806,109.0897,58.48,28,100,13.44,overcast clouds
109,Berdigestyakh,62.0989,126.6992,-4.4,99,100,2.91,overcast clouds
110,Flinders,-34.5833,150.8552,60.26,92,4,4.0,clear sky
111,Nalut,30.3333,10.85,63.03,20,33,8.43,scattered clouds
112,Caraballeda,10.6112,-66.8522,89.67,70,40,6.91,scattered clouds
113,Andahuaylas,-13.6556,-73.3872,57.36,83,95,7.09,overcast clouds
114,Rosario,-32.9468,-60.6393,82.08,41,0,3.44,clear sky
115,Meulaboh,4.1363,96.1285,76.96,89,12,3.4,few clouds
116,Jaffna,9.6685,80.0074,79.75,72,100,12.5,overcast clouds
117,Boguchany,58.3814,97.4531,-18.09,100,60,2.15,broken clouds
118,Thayetmyo,19.3167,95.1833,82.8,37,55,3.06,broken clouds
119,Hearst,49.6835,-83.6665,19.65,78,100,4.25,light snow
120,Deputatskiy,69.3,139.9,-18.81,99,100,1.72,overcast clouds
121,Penzance,50.1186,-5.5371,47.08,74,42,10.2,scattered clouds
122,Boa Vista,2.8197,-60.6733,93.18,40,40,9.22,scattered clouds
123,Bilma,18.6853,12.9164,72.41,9,0,10.22,clear sky
124,Christchurch,-43.5333,172.6333,57.94,77,100,8.05,overcast clouds
125,Batemans Bay,-35.7167,150.1833,61.11,93,4,3.09,clear sky
126,Seryshevo,51.0933,128.3786,-0.42,100,64,1.74,broken clouds
127,Benjamin Hill,30.1667,-111.1,73.22,9,0,6.96,clear sky
128,Puerto Del Rosario,28.5004,-13.8627,67.75,64,75,12.66,broken clouds
129,Crotone,39.0851,17.1178,44.55,65,0,1.14,clear sky
130,Gumia,23.7833,85.8167,72.97,22,1,5.5,clear sky
131,Quballat,36.5418,9.6633,54.1,82,100,8.23,overcast clouds
132,Taperoa,-7.2075,-36.8267,86.0,44,100,3.78,overcast clouds
133,Yaring,6.8662,101.3689,78.21,88,36,6.96,scattered clouds
134,Superior,46.7208,-92.1041,35.47,51,0,18.41,clear sky
135,Lerwick,60.1545,-1.1494,46.4,88,100,29.91,overcast clouds
136,Akyab,20.15,92.9,75.72,52,5,8.66,clear sky
137,Qaqortoq,60.7167,-46.0333,22.89,78,100,13.49,light snow
138,Flinders,-34.5833,150.8552,60.26,92,4,4.0,clear sky
139,Trincomalee,8.5711,81.2335,81.21,69,100,11.32,overcast clouds
140,Pedernales,18.0384,-71.744,83.08,68,85,4.41,overcast clouds
141,Gazojak,41.1875,61.4036,52.86,38,100,6.15,overcast clouds
