City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,Arraial Do Cabo,-22.9661,-42.0278,91.36,62,0,17.27,BR,2022-03-13 17:49:18
206,Kavieng,-2.5744,150.7967,82.17,78,96,11.03,PG,2022-03-13 17:49:18
207,Homer,59.6425,-151.5483,31.05,85,0,6.91,US,2022-03-13 17:49:18
208,Gondanglegi,-7.7479,112.0132,74.5,94,100,5.01,ID,2022-03-13 17:43:00
209,Nanortalik,60.1432,-45.2371,26.55,78,100,25.81,GL,2022-03-13 17:49:19
210,Saint George,37.1041,-113.5841,56.43,34,0,1.01,US,2022-03-13 17:45:24
211,Lavrentiya,65.5833,-171.0,1.33,67,1,6.78,RU,2022-03-13 17:39:50
212,Longyearbyen,78.2186,15.6401,19.24,93,0,6.91,SJ,2022-03-13 17:49:20
213,Okha,53.5739,142.9478,3.81,100,95,5.21,RU,2022-03-13 17:49:20
214,Rize,40.9044,40.8949,8.06,88,99,4.07,TR,2022-03-13 17:49:21
215,Tucuman,-26.8241,-65.2226,77.0,61,75,4.61,AR,2022-03-13 17:46:33
216,Sur,22.5667,59.5289,80.47,42,1,9.73,OM,2022-03-13 17:49:21
217,Wanning,18.8003,110.3967,70.57,89,59,1.43,CN,2022-03-13 17:49:22
218,Kodinsk,58.6881,99.1844,-17.68,100,93,1.3,RU,2022-03-13 17:49:22
219,Beringovskiy,63.05,179.3167,-7.69,94,6,5.21,RU,2022-03-13 17:39:52
220,Worpswede,53.2167,8.9333,51.73,37,22,1.01,DE,2022-03-13 17:49:23
221,Marsh Harbour,26.5412,-77.0636,69.22,61,46,20.8,BS,2022-03-13 17:45:00
222,Tasiilaq,65.6145,-37.6368,32.16,82,83,19.17,GL,2022-03-13 17:46:48
223,Kokkola,63.8385,23.1307,32.16,64,0,5.75,FI,2022-03-13 17:49:24
224,Kerema,-7.9631,145.7785,78.15,87,21,3.27,PG,2022-03-13 17:49:24
225,Inta,66.0317,60.1659,3.6,89,48,5.14,RU,2022-03-13 17:49:25
226,Trairi,-3.2778,-39.2689,82.78,72,100,6.26,BR,2022-03-13 17:45:08
227,Trelew,-43.249,-65.3051,85.05,12,12,20.07,AR,2022-03-13 17:49:25
228,Abashiri,44.0213,144.2697,29.95,89,100,5.64,JP,2022-03-13 17:49:26
229,Matsusaka,34.5667,136.5333,63.99,86,100,3.13,JP,2022-03-13 17:49:26
230,Nueva Guinea,11.6876,-84.4562,86.38,52,47,15.86,NI,2022-03-13 17:49:26
231,Argelia,2.2556,-77.2488,78.04,60,23,0.83,CO,2022-03-13 17:49:27
232,Margate,51.3813,1.3862,48.31,86,100,3.0,GB,2022-03-13 17:39:52
233,Port Blair,11.6667,92.75,80.64,83,20,1.14,IN,2022-03-13 17:42:35
234,Huanren,41.2647,125.3667,38.52,79,86,2.17,CN,2022-03-13 17:49:28
235,Westport,41.1415,-73.3579,35.8,45,20,15.99,US,2022-03-13 17:49:28
236,Moga,30.8,75.1667,66.34,50,0,5.64,IN,2022-03-13 17:49:29
237,Muncar,-8.4333,114.3333,76.21,92,76,3.71,ID,2022-03-13 17:49:29
238,Itupeva,-23.1531,-47.0578,82.13,61,75,6.91,BR,2022-03-13 17:49:30
239,Coahuayana,18.7333,-103.6833,86.95,36,0,6.53,MX,2022-03-13 17:49:30
240,Manakara,-22.1333,48.0167,75.22,88,97,6.6,MG,2022-03-13 17:49:31
241,Odweyne,9.4092,45.064,72.34,58,57,11.21,SO,2022-03-13 17:49:31
242,Kovdor,67.5662,30.4758,32.88,97,100,4.05,RU,2022-03-13 17:49:31
243,Manokwari,-0.8667,134.0833,78.82,81,58,2.86,ID,2022-03-13 17:47:40
244,Sungai Udang,2.269,102.1427,82.27,83,20,4.61,MY,2022-03-13 17:49:32
245,Vanimo,-2.6741,141.3028,77.85,90,98,5.28,PG,2022-03-13 17:49:33
246,Kourou,5.1552,-52.6478,75.25,87,100,9.22,GF,2022-03-13 17:49:33
247,Buala,-8.145,159.5921,78.8,81,99,2.53,SB,2022-03-13 17:49:34
248,Alghero,40.5589,8.3181,57.29,82,75,4.61,IT,2022-03-13 17:49:34
249,Bazhovo,55.0604,61.6054,-2.04,100,62,2.84,RU,2022-03-13 17:49:34
250,Hovd,48.0056,91.6419,31.84,55,72,7.05,MN,2022-03-13 17:41:07
251,Burns Lake,54.2331,-125.7533,26.02,84,100,3.0,CA,2022-03-13 17:49:35
252,Abu Samrah,35.3029,37.1841,37.31,92,90,7.67,SY,2022-03-13 17:49:35
253,Ceres,37.5949,-120.9577,61.05,68,0,10.36,US,2022-03-13 17:48:34
